date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_dollar,adj_price,USD,EUR,GBP,JPY,CNY
1/1/2012,AUS,AUD,Australia,4.8,0.972337012,4.93656,55589.549,5.142346222,0.0883,-0.07262,0.06508,0.05036,0.09218
1/1/2012,BRA,BRL,Brazil,10.25,1.805,5.67867036,10816.487,3.071803606,1.09574,0.78585,1.05103,1.02269,1.10322
1/1/2012,GBR,GBP,Britain,2.49,0.651253663,3.823395002,36119.846,4.24196443,0.0218,-0.12929,0,-0.01382,0.02545
1/1/2012,CAN,CAD,Canada,4.73,1.02095,4.632939909,46214.914,4.708813638,0.1154,-0.04953,0.0916,0.07652,0.11938
1/1/2012,CHL,CLP,Chile,2050,506.05,4.050983104,11827.958,3.118579361,0.47261,0.25486,0.44119,0.42128,0.47787
1/1/2012,CHN,CNY,China,15.4,6.3155,2.438445095,4382.136,2.774245267,-0.00356,-0.1509,-0.02482,-0.03829,0
1/1/2012,COL,COP,Colombia,8400,1852.15,4.535269822,6273.372,2.861705998,0.79665,0.53099,0.75831,0.73402,0.80306
1/1/2012,CZE,CZK,Czech Republic,70.22,20.36535,3.448013415,18288.284,3.417338921,0.14384,-0.02529,0.11943,0.10397,0.14792
1/1/2012,DNK,DKK,Denmark,31.5,5.86135,5.37418854,56147.143,5.168132311,0.17886,0.00455,0.15371,0.13777,0.18307
1/1/2012,EGY,EGP,Egypt,15.5,6.037,2.567500414,2788.829,2.700562345,0.07781,-0.08156,0.05481,0.04024,0.08165
1/1/2012,EUZ,EUR,Euro area,3.49245637,0.788239467,4.430704775,36947,4.280216396,0.17352,0,0.14848,0.13262,0.17771
1/1/2012,HKG,HKD,Hong Kong,16.5,7.76735,2.124276619,31590.681,4.032511944,-0.4028,-0.4911,-0.41554,-0.42362,-0.40067
1/1/2012,HUN,HUF,Hungary,645,245.69425,2.625214062,12879.296,3.167198778,-0.06033,-0.19928,-0.08038,-0.09309,-0.05698
1/1/2012,IND,INR,India,84,51.905,1.6183412,1264.839,2.630085006,-0.30244,-0.40558,-0.31732,-0.32675,-0.29994
1/1/2012,IDN,IDR,Indonesia,22534,9160,2.460043668,3015.374,2.711038981,0.02871,-0.1234,0.00676,-0.00715,0.03238
